"DATE","TIME PERIOD","Japanese yen/Euro ECB reference exchange rate (EXR.D.JPY.EUR.SP00.A)"


2019-12-31, 121.94

2020-01-02, 121.75
"2020-01-03","03 Jan 2020","120.54"
"2020-01-06","06 Jan 2020","121.02"
"2020-01-07","07 Jan 2020","121.15"
"2020-01-08","08 Jan 2020","120.86"
"2020-01-09","09 Jan 2020","121.54"
"2020-01-10","10 Jan 2020","121.60"
"2020-01-13","13 Jan 2020","122.25"
"2020-01-14","14 Jan 2020","122.32"
"2020-01-15","15 Jan 2020","122.43"
"2020-01-16","16 Jan 2020","122.80"
"2020-01-17","17 Jan 2020","122.31"
"2020-01-20","20 Jan 2020","122.14"
"2020-01-21","21 Jan 2020","122.31"
"2020-01-22","22 Jan 2020","121.93"
"2020-01-23","23 Jan 2020","121.50"
"2020-01-24","24 Jan 2020","120.96"
"2020-01-27","27 Jan 2020","120.11"
"2020-01-28","28 Jan 2020","120.02"
"2020-01-29","29 Jan 2020","120.06"
"2020-01-30","30 Jan 2020","120.03"
"2020-01-31","31 Jan 2020","120.35"
"2020-02-03","03 Feb 2020","120.10"
"2020-02-04","04 Feb 2020","120.52"
"2020-02-05","05 Feb 2020","120.94"
"2020-02-06","06 Feb 2020","120.87"
"2020-02-07","07 Feb 2020","120.51"
"2020-02-10","10 Feb 2020","120.18"
"2020-02-11","11 Feb 2020","119.73"
"2020-02-12","12 Feb 2020","120.03"
"2020-02-13","13 Feb 2020","119.21"
"2020-02-14","14 Feb 2020","119.11"
"2020-02-17","17 Feb 2020","119.05"
"2020-02-18","18 Feb 2020","118.70"
"2020-02-19","19 Feb 2020","119.35"
"2020-02-20","20 Feb 2020","120.86"
"2020-02-21","21 Feb 2020","120.96"
"2020-02-24","24 Feb 2020","120.52"
"2020-02-25","25 Feb 2020","119.92"
"2020-02-26","26 Feb 2020","120.13"
"2020-02-27","27 Feb 2020","120.46"
"2020-02-28","28 Feb 2020","119.36"
"2020-03-02","02 Mar 2020","119.82"
"2020-03-03","03 Mar 2020","119.77"
"2020-03-04","04 Mar 2020","119.58"
"2020-03-05","05 Mar 2020","119.63"
"2020-03-06","06 Mar 2020","119.08"
"2020-03-09","09 Mar 2020","117.12"
"2020-03-10","10 Mar 2020","118.65"
"2020-03-11","11 Mar 2020","118.55"
"2020-03-12","12 Mar 2020","116.84"
"2020-03-13","13 Mar 2020","119.11"
"2020-03-16","16 Mar 2020","117.76"
"2020-03-17","17 Mar 2020","117.50"
"2020-03-18","18 Mar 2020","117.78"
"2020-03-19","19 Mar 2020","118.63"
"2020-03-20","20 Mar 2020","118.37"
"2020-03-23","23 Mar 2020","119.11"
"2020-03-24","24 Mar 2020","119.99"
"2020-03-25","25 Mar 2020","120.67"
"2020-03-26","26 Mar 2020","120.18"
"2020-03-27","27 Mar 2020","119.36"
"2020-03-30","30 Mar 2020","119.34"
"2020-03-31","31 Mar 2020","118.90"
"2020-04-01","01 Apr 2020","117.55"
"2020-04-02","02 Apr 2020","117.06"
"2020-04-03","03 Apr 2020","117.10"
"2020-04-06","06 Apr 2020","117.54"
"2020-04-07","07 Apr 2020","118.55"
"2020-04-08","08 Apr 2020","118.36"
